Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction
Associate Technical Consultant,Bengaluru/Bangalore,Full Time,Software Development Department,5 Aug 2023,4.0,4.0,5.0,2.0,4.0,2.0,3.0
Project Manager,Bengaluru/Bangalore,Full Time,Technology / IT Department,5 Aug 2023,4.0,3.0,3.0,3.0,4.0,4.0,3.0
Software Engineer,Hyderabad/Secunderabad,Full Time,Banking Operations Department,5 Aug 2023,1.0,1.0,2.0,2.0,1.0,1.0,2.0
Consultant,Pune,Full Time,Quality Assurance and Testing Department,5 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0
Consultant,"Chennai, Tamil Nadu",Full Time,General Insurance Department,5 Aug 2023,2.0,3.0,3.0,3.0,3.0,2.0,2.0
Manager (technical Lead),Bangalore/Bengaluru,Full Time,Operations Support Department,4 Aug 2023,2.0,3.0,1.0,1.0,2.0,1.0,1.0
Sap Mm Senior Consultant,Mumbai,Full Time,IT Consulting Department,4 Aug 2023,5.0,4.0,5.0,4.0,4.0,5.0,5.0
Consultant,Bengaluru/Bangalore,Full Time,IT Network Department,4 Aug 2023,4.0,5.0,4.0,4.0,5.0,5.0,5.0
Senior Analyst,Pune,Full Time,IT Infrastructure Services Department,4 Aug 2023,4.0,4.0,5.0,3.0,5.0,3.0,2.0
Senior Professional Engineer,Hyderabad/Secunderabad,Full Time,Engineering & Manufacturing Department,4 Aug 2023,4.0,4.0,4.0,3.0,5.0,4.0,3.0
Resource Consultant,Navi Mumbai,Full Time,Project management consultant Department,4 Aug 2023,3.0,4.0,4.0,1.0,3.0,4.0,1.0
Senior Software Engineer,Pune,Full Time,Software Development Department,3 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Senior Software Engineer   (working remotely),,Full Time,Engineering & Manufacturing Department,3 Aug 2023,3.0,5.0,4.0,2.0,5.0,2.0,1.0
Lead,Bengaluru/Bangalore,Full Time,Back Office Department,3 Aug 2023,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Team Manager,Bangalore/Bengaluru,Full Time,Accounting & Taxation Department,3 Aug 2023,2.0,3.0,2.0,3.0,3.0,1.0,1.0
Consultant,Hyderabad/Secunderabad,Full Time,IT Consulting Department,2 Aug 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0
Consultant,Gurgaon/Gurugram,Full Time,Business Process Quality Department,2 Aug 2023,4.0,3.0,1.0,2.0,2.0,3.0,1.0
Engineer Ca Access,Bangalore/Bengaluru,Full Time,Operations Department,2 Aug 2023,4.0,4.0,5.0,3.0,5.0,4.0,3.0
Hr Recruiter,Chennai,Full Time,Recruitment & Talent Acquisition Department,2 Aug 2023,3.0,3.0,4.0,4.0,1.0,5.0,2.0
Consultant,Bengaluru/Bangalore,Full Time,Quality Assurance and Testing Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0
Software Engineer,"Gurgaon/Gurugram, Haryana",Full Time,Software Development Department,2 Aug 2023,4.0,4.0,3.0,3.0,4.0,4.0,2.0
Consultant,Bangalore/Bengaluru,Full Time,Software Development Department,2 Aug 2023,5.0,3.0,5.0,4.0,5.0,5.0,1.0
Invoicing Specialist,Chennai,Full Time,Finance Department,1 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Test Lead   (working remotely),,Full Time,General Insurance Department,1 Aug 2023,3.0,2.0,3.0,1.0,3.0,2.0,1.0
Senior Software Consultant,Mumbai,Full Time,Software Development Department,1 Aug 2023,2.0,1.0,3.0,1.0,2.0,2.0,1.0
Identity And Access Management Administrator,"Noida, Uttar Pradesh",Full Time,IT Consulting Department,1 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0
