Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction
Senior Android Developer,Pune Hinjewadi,Full Time,Software Development Department,6 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Service Delivery Leader,Navi Mumbai,,Recruitment & Talent Acquisition Department,1 Apr 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Software Analyst,Bengaluru,,Software Development Department,7 May 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Process Associate,Whitefield,,Finance Department,5 May 2021,3.0,4.0,4.0,1.0,5.0,3.0,2.0
Associate Consultant,Bengaluru/Bangalore,,,6 Mar 2022,3.0,4.0,2.0,2.0,5.0,4.0,3.0
Senior Consultant P5,Navi Mumbai,,,7 Jan 2022,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Associate Consultant,Pune,,,2 May 2021,4.0,3.0,3.0,2.0,4.0,4.0,4.0
Consultant,Chennai,,Business Intelligence & Analytics Department,9 Nov 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,Talawde,Full Time,Quality Assurance and Testing Department,5 Jul 2021,4.0,4.0,3.0,3.0,4.0,4.0,4.0
Consultant,Bangalore,Full Time,Quality Assurance and Testing Department,2 May 2021,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Associate Consultant,Pune,,,9 May 2021,4.0,4.0,4.0,4.0,4.0,5.0,4.0
Process Associate,Bangalore,,Retail Banking Department,8 Jun 2020,4.0,4.0,4.0,3.0,5.0,5.0,3.0
Software Developer,Hyderabad,,Software Development Department,7 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Associate/senior Associate -(technical),Kolkata,,Accounting & Taxation Department,6 Apr 2021,4.0,5.0,4.0,2.0,5.0,5.0,4.0
Process Associate,Kolkata,,Accounting & Taxation Department,7 Jul 2021,5.0,4.0,4.0,3.0,5.0,3.0,3.0
Senior Associate,Kolkata,,Non Voice Department,3 Mar 2021,4.0,4.0,4.0,2.0,4.0,3.0,3.0
Senior Consultant,Bangalore,,,1 Apr 2021,2.0,3.0,3.0,1.0,4.0,1.0,1.0
Data Analyst,Mumbai,,Business Intelligence & Analytics Department,4 Jan 2021,2.0,1.0,2.0,1.0,3.0,1.0,1.0
Senior Consultant,Bangalore,Full Time,Quality Assurance and Testing Department,9 Jun 2021,2.0,2.0,2.0,1.0,3.0,1.0,2.0
Associate Consultant,Talwade,Full Time,Software Development Department,3 May 2021,4.0,4.0,4.0,5.0,5.0,5.0,4.0
Senior Analyst,Navi Mumbai,Full Time,Business Intelligence & Analytics Department,1 Apr 2021,4.0,4.0,5.0,4.0,4.0,4.0,4.0
Associate/senior Associate -(technical),Hyderabad,,,1 Jun 2021,3.0,3.0,4.0,3.0,4.0,3.0,4.0
Senior Software Engineer,Pune,,Quality Assurance and Testing Department,5 Nov 2020,5.0,5.0,5.0,3.0,3.0,5.0,5.0
Senior Analyst,Bangalore Rural,,Sap Basis Department,7 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,Pune,,Software Development Department,7 Jul 2020,5.0,3.0,4.0,5.0,4.0,3.0,4.0
Data Analyst,"Bengaluru/Bangalore, Karnataka",,Business Intelligence & Analytics Department,0 Sep 2022,4.0,4.0,4.0,4.0,4.0,4.0,3.0
Subject Matter Expert,"Kolkata, West Bengal",,,2 Jan 2023,5.0,4.0,5.0,4.0,5.0,4.0,4.0
Consultant,Pune,,IT Consulting Department,8 Nov 2021,4.0,4.0,4.0,3.0,5.0,5.0,4.0
Senior Analyst,Bangalore Rural,Full Time,Software Development Department,2 Jul 2021,4.0,4.0,4.0,3.0,5.0,4.0,5.0
Process Associate,Salem,Full Time,Accounting & Taxation Department,0 May 2022,4.0,4.0,3.0,3.0,4.0,4.0,4.0
Process Associate,Chenani,Full Time,Accounting & Taxation Department,7 Sep 2021,3.0,5.0,3.0,2.0,5.0,3.0,2.0
Associate/senior Associate -(technical),Bangalore Rural,,Quality Assurance and Testing Department,8 Jul 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Rpa Senior Developer,Bangalore,,Software Development Department,2 May 2021,3.0,4.0,4.0,1.0,4.0,3.0,4.0
Senior Consultant,Navi Mumbai,,IT Consulting Department,0 Mar 2021,4.0,5.0,3.0,3.0,5.0,5.0,3.0
Senior Consultant,Pune,,,7 Apr 2021,2.0,3.0,4.0,1.0,2.0,1.0,2.0
Consultant,Pune,,Finance Department,0 May 2021,3.0,4.0,4.0,2.0,5.0,5.0,3.0
Data Science Engineer,Navi Mumbai,,Business Intelligence & Analytics Department,3 May 2021,5.0,5.0,5.0,4.0,4.0,4.0,4.0
System Engineer,Mumbai,,,3 Sep 2021,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Senior Consultant,"Chennai, Tamil Nadu",Full Time,Software Development Department,7 May 2022,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Senior Consultant,Pune,Full Time,Software Development Department,7 Sep 2021,4.0,5.0,5.0,2.0,5.0,5.0,5.0
Senior Software Engineer,Pune,Full Time,Pension account Department,6 Jul 2021,5.0,3.0,5.0,3.0,5.0,4.0,4.0
Consultant,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,7 Jul 2022,3.0,3.0,4.0,3.0,3.0,4.0,2.0
Senior Analyst,Pune,Full Time,,7 Dec 2020,3.0,1.0,1.0,2.0,1.0,1.0,1.0
Team Leader Finance And Accounts,Kolkata,Full Time,Non Voice Department,7 Oct 2019,2.0,1.0,1.0,2.0,1.0,1.0,1.0
Consultant,Mumbai,,Engineering Department,7 Feb 2023,3.0,3.0,3.0,2.0,4.0,2.0,2.0
Consultant,Bengaluru/Bangalore,,Quality Assurance and Testing Department,1 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,EPIP Campus,,Software Development Department,9 Apr 2021,4.0,4.0,4.0,3.0,4.0,4.0,4.0
Associate/senior Associate -(nontechnical),Bangalore,,Accounts & Finance Department,6 Mar 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Web Ui Developer,Bangalore,Full Time,Software Development Department,8 May 2021,4.0,3.0,5.0,3.0,4.0,5.0,3.0
Manager,Mumbai,,IT Consulting Department,1 Jan 2022,3.0,3.0,4.0,3.0,4.0,3.0,3.0
Consultant,Hyderabad/Secunderabad,,Quality Assurance and Testing Department,5 Oct 2021,5.0,4.0,3.0,3.0,5.0,5.0,5.0
Associate Consultant,Pune,,,8 Oct 2021,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Test Engineer,Pune,,Quality Assurance and Testing Department,7 Nov 2021,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Senior Associate,Bengaluru,,Content Management (Print / Online / Electronic) Department,9 Jun 2021,5.0,4.0,4.0,3.0,5.0,4.0,4.0
Senior Software Engineer,Pune,,Software Development Department,8 Nov 2020,5.0,5.0,5.0,4.0,4.0,4.0,4.0
Associate Consultant,Pune,,Software Development Department,0 May 2021,4.0,3.0,3.0,3.0,4.0,3.0,3.0
Team Manager,Noida,,,7 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Associate Consultant,Chennai,,,1 Aug 2021,4.0,5.0,4.0,4.0,4.0,4.0,5.0
Wso2 Developer,Bengaluru/Bangalore,Full Time,Software Development Department,3 Mar 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Consultant,Banglore,Full Time,Software Development Department,7 Feb 2022,2.0,3.0,1.0,2.0,5.0,3.0,1.0
Consultant,Bangalore,,DevOps Department,8 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Sd Consultant,Bangalore,,IT Consulting Department,1 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Consultant,Bangalore Rural,,Software Development Department,3 Sep 2021,5.0,4.0,5.0,4.0,5.0,5.0,5.0
Senior Consultant,Hyderabad,,Quality Assurance and Testing Department,5 Jan 2022,4.0,4.0,4.0,3.0,4.0,4.0,4.0
Junior Consultant,Bangalore Rural,,IT Network Department,9 Mar 2021,4.0,3.0,4.0,4.0,5.0,4.0,5.0
Process Associate,Noida,,,2 Feb 2021,3.0,3.0,4.0,3.0,4.0,4.0,4.0
Consultant,Hyderabad/Secunderabad,,Software Development Department,8 Apr 2021,3.0,4.0,3.0,2.0,2.0,3.0,2.0
Senior Associate,Salem,,SCM order management and logistics services  Department,8 May 2021,4.0,4.0,4.0,4.0,5.0,4.0,4.0
Analyst,Bangalore,Full Time,HR Operations Department,1 Mar 2021,5.0,5.0,5.0,3.0,5.0,4.0,5.0
Senior Consultant,Bangalore,Full Time,,5 Apr 2019,4.0,4.0,4.0,4.0,4.0,4.0,3.0
Recruitment,Bengaluru/Bangalore,Full Time,Employee Relations Department,7 Jun 2023,4.0,3.0,3.0,3.0,3.0,3.0,3.0
Senior Analyst,Kolkata,Full Time,,2 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Associate Consultant,Bengals,,IT Security Department,0 Aug 2021,5.0,5.0,5.0,1.0,5.0,5.0,1.0
Associate/senior Associate -(technical),Bangalore,,Engineering & Manufacturing Department,0 Apr 2021,5.0,5.0,5.0,5.0,4.0,5.0,5.0
Service Delivery Manager,Mumbai,,Top Management Department,3 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Qa Engineer,Bengaluru/Bangalore,,Quality Assurance and Testing Department,9 Dec 2021,4.0,3.0,5.0,3.0,5.0,2.0,5.0
Team Leader,Pune,,,9 Dec 2021,5.0,5.0,3.0,3.0,5.0,5.0,4.0
Assistant Manager/manager -(technical),Mumbai,,Software Development Department,5 Apr 2021,1.0,3.0,1.0,1.0,1.0,1.0,1.0
Senior Associate,Bangalore Rural,Full Time,Finance Department,9 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Consultant,Pune,Full Time,,3 Aug 2021,4.0,4.0,5.0,5.0,4.0,4.0,4.0
Automation Test Engineer,Bangalore Rural,,Quality Assurance and Testing Department,9 May 2021,5.0,3.0,3.0,1.0,5.0,3.0,4.0
Process Associate,Whitefield,,Accounting & Taxation Department,9 Oct 2022,2.0,3.0,1.0,2.0,1.0,2.0,1.0
Associate Consultant,Pune,,,5 Mar 2022,4.0,4.0,3.0,3.0,5.0,3.0,3.0
Associate/senior Associate -(nontechnical),Noida,,Voice / Blended Department,9 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Gudewire Developer,Hyderabad/Secunderabad,,Software Development Department,9 Jun 2021,4.0,4.0,5.0,3.0,5.0,4.0,4.0
Team Manager Operations,Bengaluru/Bangalore,,General Insurance Department,6 Mar 2023,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Consultant,Chennai,,Software Development Department,0 Jun 2021,4.0,3.0,4.0,3.0,4.0,3.0,4.0
Sap Mm Consultant,Bangalore Rural,,IT Consulting Department,0 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,Bangalore,Full Time,Software Development Department,4 Dec 2021,4.0,5.0,3.0,4.0,5.0,5.0,5.0
Senior Consultant,Bengaluru,Full Time,,3 Sep 2021,4.0,4.0,4.0,2.0,4.0,3.0,4.0
Engineering Software,Pune,,,7 Aug 2021,3.0,4.0,3.0,4.0,4.0,3.0,3.0
Associate Consultant -Immediate Joinner,Bangalore,,Software Development Department,2 Feb 2022,1.0,3.0,3.0,1.0,1.0,2.0,2.0
Hr Recruiter,Mumbai,,HR Operations Department,8 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Sap Consultant,"Bengaluru,",,Software Development Department,4 Sep 2020,4.0,3.0,3.0,2.0,1.0,2.0,1.0
Process Associate,Trichy,,Accounting & Taxation Department,8 Jun 2021,3.0,3.0,4.0,2.0,4.0,4.0,3.0
Senior Consultant,Navi Mumbai,,Management Consulting Department,5 Apr 2021,4.0,5.0,4.0,3.0,4.0,5.0,4.0
Hr Executive,Pune,,Recruitment & Talent Acquisition Department,6 Dec 2021,4.0,3.0,4.0,3.0,5.0,4.0,5.0
Associate Consultant,Bengaluru/Bangalore,,Data Science & Machine Learning Department,4 Mar 2022,4.0,5.0,4.0,4.0,5.0,4.0,4.0
Consultant,,Full Time,IT Consulting Department,3 Aug 2019,4.0,5.0,3.0,4.0,3.0,3.0,3.0
Associate Consultant,Bengaluru/Bangalore,Full Time,IT Security Department,1 Aug 2023,5.0,5.0,4.0,3.0,5.0,4.0,2.0
Senior Consultant,Navi Mumbai,Full Time,Software Development Department,9 Apr 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Manager - Hr Business Partner,Bangalore,Full Time,Software Development Department,6 Jan 2022,4.0,4.0,3.0,2.0,3.0,3.0,3.0
Software Engineering Senior Analyst,Navi Mumbai,,Business Intelligence & Analytics Department,5 Oct 2021,5.0,4.0,4.0,2.0,4.0,4.0,4.0
Associate Consultant,Pune,,Quality Assurance and Testing Department,9 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Consultant - Network,Navi Mumbai,,Software Development Department,5 Apr 2021,3.0,1.0,3.0,4.0,4.0,4.0,4.0
Associate Consultant,Navi Mumbai,,Business Intelligence & Analytics Department,2 Mar 2021,4.0,4.0,5.0,3.0,4.0,4.0,5.0
Process Associate,Salem,,Accounting & Taxation Department,8 Jul 2021,5.0,3.0,5.0,1.0,5.0,5.0,5.0
Software Development Senior Analyst,Pune,,Software Development Department,6 May 2021,5.0,5.0,5.0,4.0,4.0,5.0,3.0
Associate Consultant,Chennai,Full Time,Software Development Department,2 Apr 2021,4.0,4.0,3.0,3.0,4.0,3.0,3.0
Big Data Engineer,Mumbai,Full Time,Software Development Department,0 Feb 2022,5.0,3.0,3.0,3.0,3.0,3.0,3.0
Senior Consultant,Capgemini Campus,,IT Infrastructure Services Department,6 Mar 2021,4.0,4.0,5.0,2.0,4.0,4.0,4.0
"Software Analyst ,Sap Yard Logistics Consultant",Bangalore,,IT Infrastructure Services Department,2 Dec 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Project Manager,Bangalore,,Technology / IT Department,1 Mar 2022,3.0,2.0,2.0,1.0,3.0,2.0,2.0
Software Engineer,Chennai,,Software Development Department,7 Dec 2020,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Manager,Navi Mumbai,,Quality Assurance and Testing Department,2 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,Bangalore Rural,,Software Development Department,5 Apr 2021,4.0,4.0,4.0,3.0,5.0,3.0,4.0
Pm Consultant,Banglore,,,7 Mar 2019,4.0,4.0,4.0,4.0,4.0,3.0,4.0
Senior Analyst - It Operations,Navi Mumbai,,,0 Feb 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0
It Consultant,Bangalore,Full Time,,3 Jul 2021,4.0,5.0,4.0,3.0,5.0,4.0,4.0
Consultant,Bengalore,Full Time,Software Development Department,5 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Software Engineer,Mumbai,,Software Development Department,1 Feb 2022,3.0,3.0,3.0,2.0,4.0,3.0,3.0
Senior Consultant,Pune,,Technology / IT Department,5 Apr 2021,4.0,4.0,4.0,3.0,4.0,4.0,4.0
Senior Software Engineer,Hyderabad,,Software Development Department,3 Apr 2021,5.0,5.0,5.0,4.0,4.0,5.0,4.0
Team Leader,Bangalore,,Voice / Blended Department,0 Mar 2021,4.0,3.0,2.0,3.0,3.0,4.0,4.0
Associate Sap Consultant,"Bengaluru/Bangalore, Karnataka",,Software Development Department,9 Jan 2023,4.0,4.0,4.0,3.0,4.0,5.0,4.0
Sap Srm Consultant,Mumbai,,IT Consulting Department,9 Apr 2022,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Senior Analyst,Mumbai,,Software Development Department,1 Aug 2021,1.0,3.0,1.0,2.0,3.0,1.0,1.0
Noida,Noida,,Accounting & Taxation Department,5 Jun 2022,4.0,5.0,4.0,3.0,3.0,5.0,4.0
Innovation Consultant,Pune,Full Time,,9 Aug 2021,2.0,3.0,3.0,2.0,4.0,3.0,2.0
Front End Developer,Bangalore Rural,Full Time,Software Development Department,0 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
VMware,Airoli NAVI Mumbai,,Software Development Department,9 May 2021,4.0,1.0,4.0,2.0,3.0,3.0,4.0
Test Analyst,Mumbai,,Quality Assurance and Testing Department,8 Jan 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Associate Consultant,Hyderabad/Secunderabad,,Software Development Department,9 Nov 2020,4.0,4.0,4.0,3.0,4.0,4.0,4.0
HR Admin - Process Associate,Chennai,,Software Development Department,6 Apr 2021,2.0,2.0,2.0,1.0,4.0,1.0,2.0
Senior Consultant,Gurgaon,,Quality Assurance and Testing Department,8 Feb 2021,4.0,4.0,5.0,3.0,4.0,4.0,5.0
Senior Consultant,Hyderabad/Secunderabad,,,9 Oct 2021,4.0,4.0,5.0,4.0,4.0,4.0,4.0
Robotic Process Automation Developer,"Manila, Metro Manila",,Technology / IT Department,1 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Consultant,Bangalore,,Quality Assurance and Testing Department,5 Feb 2021,2.0,2.0,2.0,1.0,1.0,2.0,1.0
Senior Consultat,Bangalore,Full Time,Software Development Department,4 Apr 2021,3.0,5.0,4.0,1.0,5.0,4.0,3.0
Associate Consultant,Navi Mumbai,Full Time,,8 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Network Security Engineer,"Airoli, Navi Mumbai",Full Time,IT Network Department,6 May 2022,1.0,1.0,2.0,1.0,1.0,2.0,2.0
Associate Consultant,Hyderabad/Secunderabad,,Software Development Department,5 Feb 2022,4.0,4.0,3.0,3.0,3.0,4.0,3.0
Associate Consultant,Bengaluru,,,4 Jun 2021,4.0,4.0,4.0,4.0,3.0,4.0,4.0
Associate Consultant,Pune,,Software Development Department,6 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Software Engineer,Pune,,Software Development Department,6 May 2021,4.0,4.0,4.0,4.0,5.0,4.0,4.0
Consultant,Mumbai,,Quality Assurance and Testing Department,7 Feb 2022,5.0,4.0,5.0,4.0,5.0,5.0,5.0
Python Developer,Pune Mumbai Hyderabad Banglore,,Software Development Department,7 Aug 2021,5.0,5.0,5.0,4.0,5.0,4.0,4.0
Senior Analyst,Bangalore Rural,,IT Infrastructure Services Department,6 Nov 2021,4.0,5.0,4.0,2.0,5.0,4.0,5.0
Senior Software Engineer,Hyderabad,Full Time,Quality Assurance and Testing Department,5 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Manager,Airoli,Full Time,Software Development Department,9 Jan 2021,4.0,4.0,4.0,2.0,5.0,2.0,4.0
Process Associate,Bengaluru,,Accounting & Taxation Department,3 Mar 2021,5.0,4.0,4.0,3.0,4.0,4.0,4.0
Qa Analyst,Hyderabad,,Quality Assurance and Testing Department,1 Nov 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Associate,Kolkata,,Software Development Department,9 Apr 2021,2.0,1.0,3.0,1.0,4.0,4.0,4.0
Process Associate,Tiruchirapalli,,,5 May 2022,4.0,4.0,4.0,3.0,5.0,5.0,5.0
Senior Consultant,Pune,,Software Development Department,1 May 2021,4.0,4.0,4.0,3.0,4.0,4.0,4.0
Consultant (Software Engineer Lead),Pune,,Software Development Department,8 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Process Associate,Banglore,,Finance Department,8 Mar 2021,4.0,4.0,4.0,3.0,5.0,5.0,4.0
Senior Consultant,Bangalore Rural,,IT Consulting Department,9 Jun 2022,4.0,5.0,4.0,4.0,5.0,4.0,5.0
Senior Consultant,Pune,,IT Consulting Department,5 Apr 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Lead,Kolkata,,Marketing & creative services Department,8 Apr 2021,4.0,5.0,4.0,4.0,4.0,4.0,3.0
Associate Consultant,Pune,,Quality Assurance and Testing Department,4 May 2021,4.0,3.0,4.0,3.0,4.0,4.0,4.0
Senior Manager,Pune,,Technology / IT Department,6 Apr 2021,3.0,3.0,4.0,1.0,4.0,3.0,2.0
Senior Software Engineer,Pune,,Software Development Department,3 Sep 2021,4.0,4.0,3.0,3.0,4.0,3.0,3.0
Associate Consultant,Chennai,,,8 May 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Senior Consultant,Bangalore,,,2 Sep 2021,4.0,4.0,3.0,3.0,4.0,3.0,3.0
Associate Consultant,Navi Mumbai,,Software Development Department,8 Apr 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Process Associate,Noida,,Accounting & Taxation Department,3 Mar 2020,5.0,4.0,4.0,5.0,3.0,5.0,3.0
Senior Consultant,Pune,,,5 May 2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Software Developer,Bangalore Rural,Full Time,Software Development Department,0 May 2021,4.0,3.0,5.0,3.0,4.0,4.0,4.0
Senior Analyst/Software Engineer -SAP SD,Mumbai,Full Time,IT Consulting Department,2 May 2021,3.0,3.0,3.0,2.0,3.0,4.0,2.0
Senior Consultant P5,Mumbai,Full Time,Software Development Department,7 Sep 2021,5.0,5.0,4.0,3.0,4.0,4.0,3.0
Process Associate,Tiruchirappalli,,Accounting & Taxation Department,2 Mar 2021,4.0,4.0,4.0,3.0,5.0,4.0,4.0
Consultant,Bengaluru,,Software Development Department,0 Jul 2021,4.0,5.0,3.0,3.0,5.0,5.0,3.0
Senior Analyst,Mumbai,,IT Infrastructure Services Department,9 Jul 2021,4.0,3.0,4.0,2.0,3.0,4.0,3.0
Consultant,Pune,,Software Development Department,0 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Consultant,Bangalore Rural,,IT Network Department,1 May 2022,4.0,5.0,5.0,3.0,5.0,5.0,3.0
Senior Software Engineer,Bengaluru/Bangalore,,Quality Assurance and Testing Department,9 Apr 2022,5.0,3.0,5.0,5.0,5.0,5.0,5.0
Senior Software Engineer,Pune,,Software Development Department,1 May 2021,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Manager / Sr Manager - Administration,Pune,Full Time,Software Development Department,6 May 2021,4.0,3.0,4.0,3.0,4.0,4.0,4.0
Consultant,Navi Mumbai,Full Time,Quality Assurance and Testing Department,4 May 2021,4.0,4.0,3.0,3.0,4.0,4.0,3.0
Associate Consultant,"Mumbai, Maharashtra",Full Time,IT Infrastructure Services Department,8 Aug 2023,3.0,4.0,4.0,2.0,4.0,4.0,3.0
Analyst,Pune,Full Time,Software Development Department,3 Apr 2022,5.0,5.0,4.0,4.0,4.0,4.0,4.0
Senior Associate,Kolkata,,Software Development Department,7 Dec 2021,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Associate Consultant,Hyderabad/Secunderabad,,Software Development Department,9 Apr 2021,4.0,3.0,4.0,4.0,4.0,4.0,4.0
Consultant,Pune,,Software Development Department,9 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Quality Consultant,Pune,,Quality Assurance and Testing Department,0 May 2021,4.0,4.0,4.0,3.0,4.0,4.0,4.0
Associate Consultant,Hyderabad,,,0 Apr 2021,5.0,4.0,5.0,4.0,5.0,5.0,5.0
Senior Analyst,Mumbai,,Software Development Department,3 Apr 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Senior Consultant,Hyderabd,Full Time,DevOps Department,2 Feb 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Process Associate,Bangalore Rural,Full Time,Accounting & Taxation Department,0 Apr 2021,3.0,2.0,2.0,1.0,2.0,2.0,2.0
Associate Consultant,Hyderabad/Secunderabad,Full Time,Software Development Department,2 Apr 2021,3.0,3.0,2.0,2.0,4.0,2.0,2.0
Software Engineer,Bangalore,,Software Development Department,8 Jan 2021,4.0,4.0,5.0,3.0,5.0,5.0,4.0
Tableau Developer,Bengaluru/Bangalore,,Software Development Department,1 May 2023,5.0,5.0,3.0,4.0,5.0,5.0,4.0
Process Leader,Bengaluru/Bangalore,,Operations Department,6 May 2022,5.0,4.0,4.0,3.0,3.0,4.0,3.0
Senior Analyst,Bangalore,,,4 Dec 2021,4.0,3.0,4.0,2.0,4.0,3.0,4.0
Software Engineer,Bangalore,,Software Development Department,8 Aug 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Accountant,Bangalore Rural,,,9 Mar 2021,1.0,2.0,3.0,3.0,3.0,4.0,3.0
Test Engineer,Mumbai Suburban,,Quality Assurance and Testing Department,0 Jan 2022,5.0,3.0,5.0,3.0,5.0,3.0,5.0
Associate Consultant,Malaysia,Full Time,Quality Assurance and Testing Department,3 May 2021,4.0,4.0,4.0,3.0,4.0,4.0,4.0
Manager Projects SAP Technical Architect SAP,Pune,Full Time,Software Development Department,6 Dec 2020,4.0,4.0,4.0,3.0,4.0,5.0,4.0
Senior Analyst,Navi Mumbai,Full Time,Software Development Department,0 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,Kolkata,,Software Development Department,6 Aug 2021,5.0,3.0,4.0,2.0,4.0,5.0,2.0
Software Engineer,Noida,,Software Development Department,8 May 2021,4.0,3.0,4.0,3.0,5.0,3.0,4.0
Consultant,Bangalore Rural,,Software Development Department,0 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,Pune,,IT Consulting Department,1 Mar 2021,4.0,2.0,4.0,3.0,4.0,4.0,3.0
Sr Engineer,Bengaluru,,Quality Assurance and Testing Department,8 Jun 2022,1.0,3.0,2.0,1.0,1.0,1.0,1.0
Associate Consultant,Hyderabad/Secunderabad,,Quality Assurance and Testing Department,3 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Associate Consultant,Bangalore,,Software Development Department,7 Nov 2020,5.0,5.0,5.0,2.0,5.0,5.0,5.0
Associate Consultant - Data Science,Pune,Full Time,Software Development Department,9 Dec 2021,4.0,3.0,5.0,2.0,5.0,1.0,3.0
Senior Process Associate,Chennai,Full Time,Operations Support Department,8 Apr 2021,2.0,2.0,2.0,1.0,3.0,1.0,1.0
Senior Software Engineer,Pune,,Software Development Department,0 May 2022,4.0,5.0,4.0,5.0,5.0,5.0,4.0
Consultant,Kolkata,,IT Network Department,3 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Senior Software Engineer,Chennai,,Software Development Department,9 Apr 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Process Associate,Bangalore,,Voice / Blended Department,4 Jun 2020,5.0,3.0,3.0,3.0,4.0,3.0,3.0
Manager,Pune,,Operations Department,1 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Data Analyst,Gurgaon,,,5 Oct 2021,5.0,4.0,4.0,4.0,4.0,4.0,4.0
Qa Tester,Mumbai,,Quality Assurance and Testing Department,9 Mar 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Consultant,Bhubaneswar,,Software Development Department,9 Apr 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
.net Architect,Bengaluru/Bangalore,Full Time,Software Development Department,8 Apr 2022,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Associate Technical Consultant,Mumbai,Full Time,DBA / Data warehousing Department,0 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Software Engineer,Pune,Full Time,Software Development Department,5 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Senior Analyst,Bangalore Rural,Full Time,Finance Department,6 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,Pune,Full Time,Quality Assurance and Testing Department,5 May 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Senior Consultant,Hyderabad/Secunderabad,,,0 Mar 2021,4.0,4.0,4.0,3.0,3.0,4.0,4.0
